Epoch [2][135/1780], lr: 7.81250e-06, loss: 4.1246e-06
Epoch [2][140/1780], lr: 7.81250e-06, loss: 1.1921e-07
Epoch [2][145/1780], lr: 7.81250e-06, loss: 3.8147e-07
Epoch [2][150/1780], lr: 7.81250e-06, loss: 4.0531e-07
Epoch [2][155/1780], lr: 7.81250e-06, loss: 1.7643e-06
Epoch [2][160/1780], lr: 7.81250e-06, loss: 1.0014e-06
Epoch [2][165/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][170/1780], lr: 7.81250e-06, loss: 4.2915e-07
Epoch [2][175/1780], lr: 7.81250e-06, loss: 4.3484e-05
Epoch [2][180/1780], lr: 7.81250e-06, loss: 5.2452e-07
Epoch [2][185/1780], lr: 7.81250e-06, loss: 0.0
Epoch [2][190/1780], lr: 7.81250e-06, loss: 2.1458e-06
Epoch [2][195/1780], lr: 7.81250e-06, loss: 1.5825
Epoch [2][200/1780], lr: 7.81250e-06, loss: 2.861e-07
Epoch [2][205/1780], lr: 7.81250e-06, loss: 0.0052602
Epoch [2][210/1780], lr: 7.81250e-06, loss: 0.10312
Epoch [2][215/1780], lr: 7.81250e-06, loss: 7.8678e-07
Epoch [2][220/1780], lr: 7.81250e-06, loss: 3.9577e-06
Epoch [2][225/1780], lr: 7.81250e-06, loss: 0.00098868
